name
"1918 Lanessan, Haut-Médoc"
"1950 Beaulieu Vineyard Private Reserve Napa Cabernet Sauvignon (mid to low shoulder fills, soiled labels)"
"1952 Cheval Blanc, St-Emilion"
1952 Haut Brion Graves (Low Shoulder)
1952 Haut Brion Graves (Mid to High Shoulder)
1952 Margaux
"1952 Pichon Baron, Pauillac (high to mid shoulder, slightly corroded capsule)"
"1953 Beaulieu Reserve Napa Cabernet Sauvignon (high to mid shoulder, slightly soiled label)"
"1953 Calon-Segur, St-Estèphe"
"1953 Fonroque, St-Emilion (mid shoulder, slightly torn label)"
1953 Louis Latour Chambertin Cuvee Heritiers Latour
"1953 Léoville-Poyferre, St-Julien"
"1953 Pichon-Lalande, Pauillac (1.5L)"
"1953 Pierre Bouchy Grand Cru ""Clos de la Roche"""
"1953 Pierre Bouchy Grand Cru ""Clos de la Roche"" (5cm fill)"
1953 Romanee St Vivant Avery's (Marey Monge)
"1954 Lopez de Heredia ""Vina Tondonia"" Rioja"
"1954 Louis Martini Private Reserve Napa Cabernet Sauvignon (top shoulder, corroded capsule)"
1954 Louis Martini Zinfandel Private Reserve
1954 McKenzie Port
1954 Mouton Rothschild (375 ML)
1955 Castillo de Tiebas Las Campanas
"1955 Certan de May, Pomerol (top to high shoulder)"
"1955 Chateau de la Tour Clos-Vougeot (5cm fill, signs of seepage, soiled label)"
1955 Clos Vougeot De La Tour
"1955 Cos d'Estournel, St-Estèphe (Nicolas Bottling)"
"1955 Lafite Rothschild, Pauillac"
"1955 Lafon Rochet, St. Estephe"
"1955 Latour à Pomerol, Pomerol"
"1955 Margaux, Margaux"
1955 Martini Zinfandel Private Reserve
"1955 Montrose, St-Estèphe (mid-shoulder fill)"
"1955 Potensac, Bordeaux"
1955 Vallana Spanna
"1955 du Chat Noir, Margaux (B&G bottling)"
"1955 du Chat Noir, Margaux (B&G bottling) (mid to low shoulder fills)"
1956 Louis Martini Zinfandel Private Reserve
1957 Avery's Bonnes Mares
"1957 Bellegrave, Pauillac"
"1957 Bouchy Beaune ""Clos du Roi"" (soiled labels, some torn labels, some 5cm fills)"
"1957 Chambertin, Comte d'Orthez"
"1957 Chateauneuf-du-Pape, Mont Redon"
"1957 Comte Vogue, Musigny (Drouhin shipper's bottling)"
1957 Gevrey Chambertin Combottes Remoissenet
"1957 Haut-Brion, Graves"
"1957 La Tour Blanche, Medoc (B&G bottling) (high shoulder)"
1957 Latour (375 ML)
1957 Louis Martini Special Selection Cabernet Sauvignon (high shoulder fills)
"1957 Louis Martini Special Selection Cabernet Sauvignon (mid shoulder fill, stained capsule)"
"1957 Pedesclaux, Pauillac (M/S H/S Fill)"
"1957 Richebourg, Comte d'Orthez"
"1958 Cheval Blanc, St-Emilion (high shoulder, slightly corroded capsule)"
"1958 Giacomo Conterno ""Vini Pregiati"" Barolo Riserva"
1958 Inglenook Cask F5 Cabernet Sauvignon
"1958 La Pointe, Pomerol"
"1958 Latour, Pauillac (1.5L) (soiled & torn label, torn capsule)"
"1959 Aloxe-Corton, ""Les Chaillots,"" 1er Cru, Louis Latour"
"1959 Barton & Guestier St-Emilion (B&G) (mid shoulder, handwriting on label)"
"1959 Beaulieu Vineyard ""Georges de Latour Private Reserve"" Napa Valley Cabernet Sauvignon"
"1959 Beaulieu Vineyard ""Private Reserve"" Napa Valley Cabernet Sauvignon (some cut capsules)"
1959 Beaune Touissants Remoissenet
"1959 Beaune, 1er Cru, Hospices de Beaune, Cuvée Brunet, F. Chauvenet"
"1959 Beaune, Doudet Naudin"
"1959 Belair, St. Emilion"
1959 Bonnes Mares Avery's
"1959 Buena Vista California Vintage Port (top shoulder fills, capsules taped to bottles)"
1959 Charmes Chambertin Coron (Bourgeot)
"1959 Cheval Blanc, St. Emilion (1.5L)"
1959 Clos Vougeot Avery's
"1959 Fonplegade, St. Emilion"
"1959 Gevrey Chambertin, Morin"
"1959 Grand-Puy-Lacoste, Pauillac"
"1959 Grands Echezeaux, Grand Cru, Leroy"
"1959 Grands Echezeaux, Pierre Olivier"
1959 Inglenook Cabernet Sauvignon Cask F 6
"1959 Inglenook Napa Cabernet Sauvignon (375ml) (high shoulder fills, soiled labels, slightly corroded capsules)"
"1959 Inglenook Napa Cabernet Sauvignon (375ml) (soiled labels, slightly corroded capsules)"
"1959 La Mission Haut Brion, Graves (1.5L)"
"1959 La Pointe, Pomerol (mid shoulder, soiled label)"
"1959 La Tour de Guetteur, St. Emilion (mid shoulder)"
"1959 Lafite-Rothschild, Pauillac (lightly bin soiled label)"
"1959 Lafon Rochet, St. Estephe (Saccone & Speed Bottling, mid shoulder)"
"1959 Lassegue, St-Emilion (mid to low shoulder)"
"1959 Latour, Pauillac (1.5L)"
"1959 Leoville-Poyferre, St-Julien (1.5L)"
1959 Louis Martini Napa Cabernet Sauvignon
"1959 Léoville-Las-Cases, St-Julien (mid-shoulder/dirty label)"
"1959 Meyney, St-Estèphe"
"1959 Mouton-Rothschild, Pauillac (High Shoulder fill)"
"1959 Pape Clement, Pessac-Leognan"
"1959 Pichon Lalande, Pauillac (negotiant bottling, mid-shoulder, soiled label)"
"1959 Pichon Lalande, Pauillac (negtiant bottling, high-shoulder fill)"
"1959 Ripeau, St-Emilion (torn, slightly faded label)"
"1959 Santenay, Gravieres, 1er Cru, Jessioume"
1959 Vienot Chambertin Clos de Beze
1959 Volnay Santenots Grivelet
"1959 Vosne Romanee Suchots, Moillard-Grivot (375 ML)"
"1960 Charles Krug ""Vintage Selection"" Napa Valley Cabernet Sauvignon"
"1960 DRC Domaine de la Romanée-Conti La Tâche Grand Cru (mid shoulder, slightly torn vintage label)"
1960 Jaboulet Isnard Cote Rotie
"1960 Verdignan Rouge, Haut-Medoc (some top/high shoulder fills)"
"1961  Clos de Vougeot, Girard & Deal"
"1961 Ausone, St-Emilion (low shoulder fill)"
"1961 Ausone, St-Emilion (mid-shoulder fill)"
"1961 Beaune Bressandes, Duchet (4cm/bad label)"
"1961 Bel Air Marquis D'Aligre, Margaux (some mid shoulder fills)"
"1961 Beychevelle, St-Julien (Calvet. Chateau Bottled.) (Sotheby's sale sticker circa 1975)"
"1961 Bourron, Cotes de Castillon (high/mid shoulder)"
"1961 Canon, Canon-Fronsac"
"1961 Canon, St-Emilion"
1961 Chambolle Musigny 'Les Amoureuses' Avery's
1961 Chambolle Musigny Avery's
1961 Chambolle Musigny Violland
"1961 Chambolle-Musigny, ""Les Charmes,"" Proprietaires Cambola (fill 2"" from cork)"
1961 Charles Krug Napa Cabernet Sauvignon
"1961 Chateauneuf-du-Pape Grand Reserve, Chais de la Calvette"
1961 Clos Vougeot 'Fortiers' Picard
1961 Clos de Mouches Coron
"1961 Domaine Hudelot Musigny (3-3 1/2cm fills, some pressed corks)"
"1961 Ducru-Beaucaillou, St-Julien (low shoulder)"
1961 Duhart Milon (Low to Mid shoulder fill)
"1961 Fixin ""Clos du Chapitre"", Bouchy (corroded capsule)"
1961 Giacomo Borgogno & Figli Barolo Riserva
"1961 Giscours, Margaux (1.5L) (high-shoulder fill)"
"1961 Giscours, Margaux (1.5L) (mid-shoulder fill)"
"1961 Grand Pey Lescours, St-Emilion (high-to-mid shoulder)"
"1961 Grand-Puy-Lacoste, Pauillac"
1961 Heitz Napa Cabernet Sauvignon
"1961 Hospices de Beaune Beaune ""Cuvee N.Rolin"" (3cm)"
"1961 La Lagune, Haut-Medoc (high shoulder/dirty label)"
"1961 Lafite-Rothschild, Pauillac (1.5L)"
"1961 Lafite-Rothschild, Pauillac (375 ml) (mid-shoulder fill)"
"1961 Lafon-Rochet, St-Estèphe (Christopher's Bottling)"
"1961 Lafon-Rochet, St-Estèphe (Christopher's/ Mid Shoulder Fill, soiled label, corroded capsule)"
"1961 Lascombes, Margaux (high shoulder fill)"
"1961 Latour, Pauillac (1.5L)"
"1961 Latour, Pauillac (top shoulder, slightly corroded capsule)"
"1961 Leoville Barton, St. Julien (B&G bottling)"
1961 Les Champs Pimont Coron
"1961 Mazis Chambertin Avery's (Low Fill, Good Condition)"
"1961 Mercurey, Pierre Ponnelle"
1961 Mommessin Clos-de-Tart Grand Cru (some 3 1/2cm fills)
1961 Morey St Denis Bouchard
1961 Musigny Bouchard
"1961 Palmer, Margaux (mid shoulder fill)"
"1961 Pape Clement, Graves (mid shoulder, slightly torn capsule)"
"1961 Phelan Segur, St. Estephe (low shoulder)"
"1961 Poujeaux, Moulis (mid shoulder fills, some soiled labels)"
"1961 Rauzan-Gassies, Margaux (high shoulder fill)"
"1961 Roquevieille, Côtes de Castillon"
"1961 Santenay Demaiziere, Avery's"
"1961 Smith-Haut-Lafitte Rouge, Pessac-Léognan"
"1961 Torres Gran Coronas Reserva ""Black Label"""
"1961 Trotanoy, Pomerol"
"1961 Vosne Romanee, Les Malconsorts, Lucien Jayer (fill 6 1/2 cm from cork)"
1961 Warre LBV Port (some cracked capsules)
"1961 de Pressac, St-Emilion"
"1962 Ausone, St-Emilion (higher mid shoulder fill)"
"1962 Batailley, Pauillac"
"1962 Beaulieu Vineyard ""Beaumont"" Pinot Noir"
1962 Bertani Amarone Recioto della Valpolicella
1962 Brolio Chianti Classico Riserva
"1962 Chambolle Musigny, Derrieres la Grange, Domaine Louis Remy"
1962 Chateau de Lisse
"1962 Clos Fourtet, St-Emilion (1.5 L) (mid to low shoulder, soiled label)"
"1962 Clos Fourtet, St-Emilion (1.5L) (some top to high shoulder fills, some soiled & slightly torn labels)"
"1962 Clos Fourtet, St-Emilion (mid to low shoulder fills)"
"1962 Clos Fourtet, St-Emilion (top/high shoulder fills)"
1962 Domaine Comte de Vogüé Musigny Grand Cru Vieilles Vignes (7cm/bad label)
"1962 Gruaud Larose, St-Julien"
"1962 Haut Bailly, Pessac-Leognan (mid-shoulder, slightly torn label)"
"1962 Haut Brion, Pessac (High Shoulder fill)"
"1962 Inglenook ""Cask F-4"" Napa Valley Cabernet Sauvignon"
"1962 La Conseillante, Pomerol"
"1962 La Fleur Petrus, Pomerol (top to high shoulder fills, some slightly soiled labels)"
"1962 Lafite-Rothschild, Pauillac (1.5L)"
"1962 Lafite-Rothschild, Pauillac (Mid shoulder)"
"1962 Lafon Rochet, St. Estephe (mid shoulder)"
"1962 Lascombes, Margaux (shareholder's bottling, mid shoulder fill)"
1962 Maison Leroy La Romanée Grand Cru
1962 Margaux (Low Mid Shoulder Fill)
1962 Moilard Beaune-Grèves (5cm)
"1962 Mommessin Grand Cru ""Clos de Tart"" (soiled label, damaged capsule with exposed cork)"
"1962 Mouton Baron Philippe, Pauillac"
"1962 Nuits-St-Georges Premier Cru, Bouchard Aine & Fils"
"1962 Pichon Baron, Pauillac (mid shoulder-bad labels)"
1962 Torres Gran Coronas Reserva
"1962 Vieux-Château-Certan, Pomerol"
1963 Bertani Amarone Recioto della Valpolicella Classico Superiore
"1963 Clos Fourtet, St. Emilion (high shoulder fill, slightly soiled label)"
1963 Inglenook Cabernet Sauvignon Cask F 25
"1963 Lafite Rothschild, Pauillac"
"1963 Latour a Pomerol, Pomerol"
1963 Martin Ray California Pinot Noir
"1964 Armand Roux Grands Echezeaux Grand Cru (6cm fill, corroded capsules)"
1964 Armand Roux Richebourg
1964 Avery's Musigny Vielle Vigne (Comtes de Vogue)
1964 Avondo Gattinara Riserva
1964 Badia Coltobuono Chianti Classico Riserva
1964 Bertani Amarone della Valpolicella Classico
1964 Bonnes Mares Avery's (Comte de Vogue)
1964 Bonnes Mares Comte Vogue
1964 Bouchy Corton Clos du Roi
"1964 Brane Cantenac, Margaux (top to high shoulder fills)"
1964 Brolio Chianti Classico Riserva
1964 Chambertin Thorin
"1964 Chassagne Montrachet Rouge, Pierre Bouchy"
1964 Chateau de la Gardine Châteauneuf-du-Pape
"1964 Cheval Blanc, St-Emilion (1.5L)"
1964 Clos Vougeot Bouchy
1964 Clos de Cortons Faiveley (Estate owner's bottling)
"1964 Clos de Vougeot, Joseph Drouhin"
"1964 Cos d'Estournel, St. Estephe (6L)"
"1964 Cote Rotie, Jaboulet-Isnard"
"1964 DRC Domaine de la Romanée-Conti La Tâche Grand Cru (6.5cm fill, stained label)"
"1964 Domaine Roumier Morey-St-Denis 1er Cru ""Clos de la Bussiere"" (mid to low shoulder, slightly soiled label, torn capsule)"
"1964 Duhart-Milon, Pauillac"
1964 Gaja Barbaresco
"1964 Gerbay, Cotes de Castillon"
"1964 Haut-Bailly, Pessac-Léognan"
"1964 Hermitage, Chapoutier"
1964 Inglenook Cask G-24 Cabernet Sauvignon (high shoulder fill)
"1964 La Pointe, Pomerol"
"1964 Lafite Rothschild, Pauillac (1.5L) (some top shoulder fills)"
"1964 Latour, Pauillac (1.5L)"
1964 Lopez de Heredia Vina Bosconia Gran Reserva Rioja
1964 Lopez de Heredia Vina Tondonia Gran Reserva Rioja
"1964 Léoville-Las-Cases, St-Julien (top to mid shoulder fills, some slightly soiled labels)"
"1964 Léoville-Poyferré, St-Julien"
"1964 Malescot St. Exupery, Margaux (mid shoulder, slightly depressed cork)"
"1964 Nozzole Chianti Classico Riserva (1.5 L) (top shoulder, exposed cork)"
1964 Nozzole Chianti Classico Riserva (1.5L)
"1964 Palmer, Margaux (1.5L)"
"1964 Petrus, Pomerol (1.5L)"
"1964 Pichon Lalande, Pauillac (6L)"
1964 Pommard Bouchard
"1964 Ridge Santa Cruz Mountain Cabernet Sauvignon (top shoulder, damaged label)"
1964 Torres Gran Coronas Riserva
1964 Villamont Musigny
1964 Vosne Romanee -- Domaine Gros Frere & Soeur
"1964 Yon Figeac, St-Emilion (low neck)"
"1964 de Lescours, St-Emilion (mid shoulder fill)"
"1965 Buena Vista ""Haraszthy"" Zinfandel"
"1965 Charles Krug Napa Burgundy (4cm fill, torn capsule)"
1965 Concannon Livermore Valley Petite Sirah (1.5L) (some soiled labels)
"1965 Haut-Brion, Graves"
1965 Inglenook Estate Napa Valley Cabernet Sauvignon
"1965 Pichon Baron, Pauillac (mid shoulder fills, soiled labels, some corroded capsules)"
"1966  Henri de Villamont Beaune ""Cent Vignes (some missing vintage labels)"
"1966 Antiche Abbazia dell'Annunziata Barolo (soiled labels, tissue on capsules)"
"1966 Batailley, Pauillac"
1966 Beaune Cent Vignes Coron
"1966 Beauregard, Pomerol (low shoulder fill)"
"1966 Bel-Air, Pomerol"
"1966 Beychevelle, St-Julien (low shoulder)"
1966 Bouchy Bonnes Mares
"1966 Cantemerle, Haut-Medoc (high mid shoulder fill, light signs of past seepage)"
"1966 Cap de Mourlin, St-Emilion (top to high/mid shoulder fills, soiled labels)"
1966 Certan de Marzelle
1966 Chambeaud
1966 Chambertin Clos de Beze Faiveley (Estate Owner's bottling)
"1966 Chambertin Clos-de-Bèze, Grand Cru, Henri de Villamont"
"1966 Chambertin, Chanson (5cm fill)"
"1966 Chambertin, Domaine Trapet"
"1966 Chambertin, Grand Cru, Chanson (1.5 L) (7 1/2cm fill)"
1966 Chambolle Musigny Cambola (1.5L)
"1966 Chateauneuf-du-Pape, Alexandre Rochette"
1966 Clos de Mouches Coron
1966 Corton Coron (Gros-Prisse)
1966 Corton Richebourg (1.5L)
"1966 Cos d'Estournel (M/H Shoulder, Good Condition)"
"1966 Cos d'Estournel, St-Estèphe (Mid shoulder fills)"
"1966 Cos d'Estournel, St-Estèphe (top to high shoulder fills)"
"1966 Croix de Gay, Pomerol"
1966 DRC Domaine de la Romanee-Conti Echezeaux  Grand Cru (1.5)
"1966 Durfort-Vivens, Margaux (mid shoulder, corroded capsule)"
"1966 Fieuzal, Graves (high-to-mid shoulder)"
"1966 Grand-Puy-Lacoste, Pauillac (high-mid shoulder fill)"
"1966 Haut Brion, Graves * 3.5cm fill"
"1966 Haut Corbin, St-Emilion (soiled labels, some top shoulder fills)"
1966 Jaboulet Hermitage La Chapelle
"1966 La Conseillante, Pomerol"
1966 La Cuesta Santa Cruz Mountains Cabernet Sauvignon
"1966 La Dominique, St. Emilion"
"1966 La Mission Haut Brion (top to high shoulder fills, slightly soiled labels, light signs of past seepage)"
"1966 La Tour Carnet, Haut-Médoc"
"1966 La Tour Haut Brion (high shoulder fill, signs of past seepage, reattached label)"
"1966 Lafite Rothschild, Pauillac (3L)"
"1966 Lafite Rothschild, Pauillac (high shoulder fill, label tear w/transparent tape affixed)"
"1966 Lafite Rothschild, Pauillac (high shoulder fill, scuffed labels)"
"1966 Lafleur, Pomerol (mid shoulder fill)"
"1966 Lafon Rochet, St-Estèphe"
"1966 Lafon Rochet, St. Estephe (mid to low shoulder, torn capsule)"
"1966 Lagrange, St-Julien"
"1966 Langoa Barton, St-Julien (1.5L)"
"1966 Latour, Pauillac (high shoulder fills)"
1966 Latricieres Chambertin Drouhin Laroze
1966 Les Forts de Latour (1.5L)
"1966 Louis Martini ""Special Selection"" California Mountain Pinot Noir (1.5 L) (replacement foil capsules)"
1966 Louis Martini Napa Cabernet Sauvignon (some torn labels)
"1966 Léoville-Las Cases, St-Julien (mid-shoulder/dirty label)"
"1966 Maison Chanson Chambertin Grand Cru (1.5L) (corroded capsules, slight signs of seepage)"
1966 Marquis de Alesme Becker
1966 Mayacamas Cabernet Sauvignon
1966 Moillard-Grivot Bonnes Mares (5cm)
"1966 Mouton Rothschild, Pauillac"
"1966 Mouton-Cadet, Bordeaux (1.5L) (some high shoulder fills)"
"1966 Nuits St Georges Clos de Forets, J Belin"
"1966 Nuits St. Georges, Les Cailles, 1er Cru, Morin"
"1966 Palmer, Margaux"
"1966 Pavie, St. Emilion (top/high shoulder, slightly pressed cork)"
"1966 Pommard (Leonard Kreusch Negociant bottling, 4 1/2cm fill)"
"1966 Pommard Clos de Citeaux, Jean Monnier"
"1966 Pommard, Bernard Delagrange"
"1966 Rausan-Ségla, Margaux"
1966 Robert Mondavi Napa Valley Pinot Noir
"1966 Romanéee St. Vivant, Grand Cru, Leroy"
"1966 St. Georges, St. Georges-St. Emilion"
1966 Vienot Nuits St Georges (6 to 7cm ullage)
"1967 Bellegrave, Pauillac"
1967 Buena Vista Lachryma Montis
"1967 Cap de Mourlin, St-Emilion (top shoulder, slightly soiled label)"
"1967 Chambertin Clos de Beze, Louis Jadot (fill 2 1/4"" from cork/ torn lables)"
"1967 Ducru Beaucaillou, St. Julien"
"1967 Figeac, St-Emilion"
1967 Freemark Abbey Napa Valley Cabernet Sauvignon
1967 Giacomo Borgogno & Figli Barolo Riserva
"1967 Giacosa Barolo ""Rionda"""
1967 Giacosa Fratelli Barolo
"1967 Gloria, St-Julien"
"1967 Haut Bailly, Pessac-Leognan"
"1967 Haut Batailley, Pauillac (some top shoulder fills)"
"1967 Haut-Brion, Graves (1.5L) (high-shoulder, dirty label)"
"1967 Heitz Cellar ""Martha's Vineyard"" Napa Cabernet Sauvignon (mid-shoulder, soiled & torn label)"
1967 Jaboulet Isnard Cote Rotie
1967 La Questa Cabernet Sauvignon
"1967 La Tour Carnet, Haut-Medoc (top/high shoulder fills)"
"1967 Langoa Barton, St. Julien (top/high shoulder fills some soiled labels, some torn capsules"
"1967 Latour, Pauillac (1.5L)"
"1967 Leoville-Barton, St-Julien"
1967 Louis Martini Napa Valley Cabernet Sauvignon
"1967 Magdelaine, St-Emilion (1.5L) (some slightly corroded capsules)"
"1967 Malescot-St-Exupery, Margaux"
1967 Mayacamas Napa Cabernet Sauvignon (Slightly depressed cork)
"1967 Moulin de Pietat, Bordeaux Superieur"
"1967 Mouton Baron Philippe, Pauillac"
"1967 Mouton Rothschild, Pauillac (1.5L)"
"1967 Mouton Rothschild, Pauillac (1.5L) (mid shoulder, corroded capsule, slightly pressed cork)"
"1967 Mouton-Rothschild, Pauillac (bottom shoulder fill, torn stained label)"
"1967 Nuits St Georges, Jadot"
1967 Prunotto Barolo Riserva
"1967 Rauzan Segla, Margaux"
1967 Robert Mondavi Napa Valley Cabernet Sauvignon
"1967 Siaurac, Lalande de Pomerol"
"1967 Soutard, St. Emilion (high shoulder)"
"1967 Torres Gran Coronas Reserva ""White Label"""
"1967 Yon Figeac, St-Emilion"
"1967 l'Angelus, St. Emilion"
1968 Barossa Co-Op Cabernet Sauvignon
"1968 Beaulieu Vineyard Private Reserve Cabernet Sauvignon (mid/low shoulder, slightly pressed cork)"
"1968 Beaulieu Vineyard Private Reserve Cabernet Sauvignon (soiled label, top shoulder fill)"
"1968 Beychevelle, St-Julien"
1968 Charles Krug Napa Valley Pinot Noir
"1968 Gemello ""Saratoga Ranch"" Santa Clara Valley Cabernet Sauvignon"
1968 Heitz Cellar Napa Pinot Noir
"1968 Inglenook ""Estate"" Napa Valley Pinot Noir"
"1968 Louis Martini ""Private Reserve"" Napa Valley Cabernet Sauvignon"
"1968 Louis Martini ""Special Selection"" California Mountain Pinot Noir (1.5 L) (replacement foil capsule, torn label)"
1968 Louis Martini Barbera
1968 Louis Martini Lot 5 Special Selection Cabernet Sauvignon
"1968 Margaux, Margaux (Torn Label, re- affixed)"
1968 Mayacamas Late Harvest Zinfandel
1969 B&G Bordeaux (1.5L)
1969 Beaulieu Vineyard Private Reserve Cabernet Sauvignon (very high shoulder)
1969 Beringer Napa Valley Estate Cabernet Sauvignon
"1969 Beychevelle, St. Estephe"
"1969 Bonnes Mares, Drouhin"
"1969 Bonnes Mares, Drouhin (fill 4cm from cork)"
"1969 Chambertin ""Clos de Beze"", Rousseau (slightly stained vintage tag)"
"1969 Chambertin Cols de Beze ""J. George Selection"", Drouhin"
"1969 Chambolle Musigny Fremieres, Philippe Remy"
"1969 Chambolle Musigny Les Amoureuses, Grivelet"
"1969 Chambolle Musigny, Paul Lacaze (slightly pressed cork)"
"1969 Chateauneuf-du-Pape, Clos L'Oratoire des Papes"
1969 Clos De Tart Mommessin (1.5L)
1969 Clos Vougeot Liger Belair
"1969 Clos Vougeot, Moillard (negociant bottling)"
1969 DRC Domaine de la Romanée-Conti Grands-Echezeaux Grand Cru
1969 DRC Domaine de la Romanée-Conti Romanée-St-Vivant (Marey Monge) Grand Cru
1969 Domaine Comte Georges de Vogüé Musigny Grand Cru Vieilles Vignes
"1969 Domaine Marion Grand Cru Chambertin-Clos de Bèze (some 3-3.5cm fills, some stained capsules)"
1969 Domaine Roumier Chambolle-Musigny
1969 Domaine de la Romanée-Conti La Tache Grand Cru (4cm fills)
"1969 Durfort Vivens, Margaux"
1969 Echezeaux Goroux
"1969 Echezeaux, Moillard"
"1969 Echezeaux, Pierre Bouchy (some 3 1/2-4cm fills)"
1969 Fixin La Maziere Dr Marion (Audiffred)
1969 Freemark Abbey Pinot Noir
1969 Galarey Barbaresco
"1969 Gevrey Chambertin Cazetiers, Brocard (Douveen selection)"
1969 Gevrey Chambertin La Petite Chapelle Domaine Lesprit (Audiffred)
1969 Gevrey Chambertin Pierre Ponnelle
"1969 Giscours, Margaux (some high shoulder fills)"
"1969 Grand Corbin-Despagne, St-Emilion"
"1969 Hospices de Beaune ""Cuvee Charlotte-Dumay"" Corton (negociant bottling)"
"1969 Inglenook ""Cask G-24"" Napa Valley Cabernet Sauvignon"
"1969 Inglenook ""Cask G-25"" Napa Valley Cabernet Sauvignon"
1969 Inglenook Cask G-18 Cabernet Sauvignon
1969 Inglenook Napa Valley Cabernet Sauvignon
1969 Inglenook Pinot Noir
1969 Joseph Drouhin Chambolle-Musigny (slightly soiled label & vintage tag)
1969 Joseph Swan Zinfandel
"1969 La Fleur Petrus, Pomerol (1.5 L)"
"1969 Lanessan, Haut-Medoc (some highto mid shoulder fills)"
"1969 Latour, Pauillac"
"1969 Leoville Barton, St. Julien (1.5 L) (high shoulder)"
1969 Louis Latour Charmes-Chambertin Grand Cru
"1969 Léoville-Las-Cases, St-Julien"
"1969 Magdelaine, St Emilion (1.5L) (some slightly corroded capsules)"
1969 Mazis Chambertin Mommessin
"1969 Musigny, Drouhin (torn label) (1.5L)"
"1969 Patriarch Beaune, Hospice de Beaune"
1969 Pommard Epenots Courcel (Fills 3-5.5 cm)
"1969 Ridge Vineyards MB1 Zinfandel (damaged labels, vintage legible)"
"1969 Rioja Clarete, Compania Vinicola del Norte de Espania (CVNE) (top shoulder)"
1969 Robert Mondavi Napa Cabernet Sauvignon (375ml)
"1969 Santenay, Henri de Villamont"
"1969 Santenay, Henri de Villamont (label missing)"
"1969 Siran, Margaux (some top shoulder fills)"
1969 Sutter Home Zinfandel Deaver Ranch Lot 2
1969 Tommasi Amarone
1969 Vosne Romanee J Mongeard
"1969 Vosne Romanee Malconsorts, Lamarche"
"1970 Beau-Séjour Bécot, St-Emilion"
"1970 Bel-Air Marquis d'Aligre, Margaux"
"1970 Belair, St-Emilion"
"1970 Bodegas Muga ""Prado Enea"" Gran Reserva Rioja"
"1970 Canon, St-Emilion (mid shoulder)"
"1970 Canon, St. Emilion (high-mid shoulder fill, bin soiled label)"
"1970 Chambolle Musigny, Jadot"
"1970 Clerc Milon, Pauillac"
"1970 Clerc-Milon, Pauillac (1.5L)"
"1970 Cos Labory, St-Estèphe"
"1970 Cos d'Estournel, St. Estephe (high-mid shoulder, signs of past seepage)"
1970 David Bruce Petite Sirah
"1970 Ducru Beaucaillou (Mid/High shoulder fill), good condition"
"1970 Ducru-Beaucaillou, St-Julien (high shoulder fill)"
1970 Fattoria dei Barbi Brunello di Montalcino
"1970 Fixin, Paul Reitz (some 5cm fills, some vintage labels missing)"
1970 Fourcas Hosten Listrac (3L)
"1970 Fourcas Hosten, Listrac (1.5L)"
"1970 Franc Mayne, St-Emilion (top/high shoulder)"
"1970 Franc Mayne, St. Emilion (1.5 L) (slightly corroded capsule)"
1970 Gaja Barbaresco (1.5L)
"1970 Garraud, Lalande de Pomerol *(1.5L)"
"1970 Gevrey Chambertin, Jadot"
"1970 Grand Puy Ducasse, Pauillac (mid shoulder, torn capsule)"
"1970 Gruaud Larose, St-Julien (1.5 L)"
"1970 Gruaud Larose, St. Julien (Bin Soiled Label, Corroded Capsule, Signs of Past Seepage)"
